"name","run.no.in.std.order","run.no","run.no.std.rp","threads","processes","class","Blocks"
"1","3",1,"3.1","20","1","A",".1"
"2","8",2,"8.1","10","1","D",".1"
"3","11",3,"11.1","10","2","D",".1"
"4","7",4,"7.1","1","1","D",".1"
"5","1",5,"1.1","1","1","A",".1"
"6","10",6,"10.1","1","2","D",".1"
"7","4",7,"4.1","1","2","A",".1"
"8","6",8,"6.1","20","2","A",".1"
"9","9",9,"9.1","20","1","D",".1"
"10","5",10,"5.1","10","2","A",".1"
"11","12",11,"12.1","20","2","D",".1"
"12","2",12,"2.1","10","1","A",".1"
"13","2",13,"2.2","10","1","A",".2"
"14","9",14,"9.2","20","1","D",".2"
"15","5",15,"5.2","10","2","A",".2"
"16","1",16,"1.2","1","1","A",".2"
"17","11",17,"11.2","10","2","D",".2"
"18","7",18,"7.2","1","1","D",".2"
"19","8",19,"8.2","10","1","D",".2"
"20","3",20,"3.2","20","1","A",".2"
"21","12",21,"12.2","20","2","D",".2"
"22","10",22,"10.2","1","2","D",".2"
"23","4",23,"4.2","1","2","A",".2"
"24","6",24,"6.2","20","2","A",".2"
"25","5",25,"5.3","10","2","A",".3"
"26","4",26,"4.3","1","2","A",".3"
"27","12",27,"12.3","20","2","D",".3"
"28","1",28,"1.3","1","1","A",".3"
"29","6",29,"6.3","20","2","A",".3"
"30","10",30,"10.3","1","2","D",".3"
"31","11",31,"11.3","10","2","D",".3"
"32","2",32,"2.3","10","1","A",".3"
"33","8",33,"8.3","10","1","D",".3"
"34","9",34,"9.3","20","1","D",".3"
"35","7",35,"7.3","1","1","D",".3"
"36","3",36,"3.3","20","1","A",".3"
"37","11",37,"11.4","10","2","D",".4"
"38","6",38,"6.4","20","2","A",".4"
"39","8",39,"8.4","10","1","D",".4"
"40","5",40,"5.4","10","2","A",".4"
"41","10",41,"10.4","1","2","D",".4"
"42","4",42,"4.4","1","2","A",".4"
"43","1",43,"1.4","1","1","A",".4"
"44","12",44,"12.4","20","2","D",".4"
"45","7",45,"7.4","1","1","D",".4"
"46","9",46,"9.4","20","1","D",".4"
"47","2",47,"2.4","10","1","A",".4"
"48","3",48,"3.4","20","1","A",".4"
"49","9",49,"9.5","20","1","D",".5"
"50","2",50,"2.5","10","1","A",".5"
"51","7",51,"7.5","1","1","D",".5"
"52","3",52,"3.5","20","1","A",".5"
"53","1",53,"1.5","1","1","A",".5"
"54","12",54,"12.5","20","2","D",".5"
"55","5",55,"5.5","10","2","A",".5"
"56","4",56,"4.5","1","2","A",".5"
"57","10",57,"10.5","1","2","D",".5"
"58","11",58,"11.5","10","2","D",".5"
"59","6",59,"6.5","20","2","A",".5"
"60","8",60,"8.5","10","1","D",".5"
"61","8",61,"8.6","10","1","D",".6"
"62","5",62,"5.6","10","2","A",".6"
"63","10",63,"10.6","1","2","D",".6"
"64","6",64,"6.6","20","2","A",".6"
"65","2",65,"2.6","10","1","A",".6"
"66","9",66,"9.6","20","1","D",".6"
"67","12",67,"12.6","20","2","D",".6"
"68","3",68,"3.6","20","1","A",".6"
"69","4",69,"4.6","1","2","A",".6"
"70","1",70,"1.6","1","1","A",".6"
"71","7",71,"7.6","1","1","D",".6"
"72","11",72,"11.6","10","2","D",".6"
"73","1",73,"1.7","1","1","A",".7"
"74","8",74,"8.7","10","1","D",".7"
"75","11",75,"11.7","10","2","D",".7"
"76","9",76,"9.7","20","1","D",".7"
"77","6",77,"6.7","20","2","A",".7"
"78","4",78,"4.7","1","2","A",".7"
"79","10",79,"10.7","1","2","D",".7"
"80","3",80,"3.7","20","1","A",".7"
"81","12",81,"12.7","20","2","D",".7"
"82","2",82,"2.7","10","1","A",".7"
"83","5",83,"5.7","10","2","A",".7"
"84","7",84,"7.7","1","1","D",".7"
"85","7",85,"7.8","1","1","D",".8"
"86","2",86,"2.8","10","1","A",".8"
"87","8",87,"8.8","10","1","D",".8"
"88","3",88,"3.8","20","1","A",".8"
"89","4",89,"4.8","1","2","A",".8"
"90","5",90,"5.8","10","2","A",".8"
"91","11",91,"11.8","10","2","D",".8"
"92","1",92,"1.8","1","1","A",".8"
"93","6",93,"6.8","20","2","A",".8"
"94","12",94,"12.8","20","2","D",".8"
"95","10",95,"10.8","1","2","D",".8"
"96","9",96,"9.8","20","1","D",".8"
"97","11",97,"11.9","10","2","D",".9"
"98","4",98,"4.9","1","2","A",".9"
"99","9",99,"9.9","20","1","D",".9"
"100","1",100,"1.9","1","1","A",".9"
"101","7",101,"7.9","1","1","D",".9"
"102","2",102,"2.9","10","1","A",".9"
"103","8",103,"8.9","10","1","D",".9"
"104","5",104,"5.9","10","2","A",".9"
"105","3",105,"3.9","20","1","A",".9"
"106","10",106,"10.9","1","2","D",".9"
"107","6",107,"6.9","20","2","A",".9"
"108","12",108,"12.9","20","2","D",".9"
"109","7",109,"7.10","1","1","D",".10"
"110","6",110,"6.10","20","2","A",".10"
"111","8",111,"8.10","10","1","D",".10"
"112","1",112,"1.10","1","1","A",".10"
"113","5",113,"5.10","10","2","A",".10"
"114","10",114,"10.10","1","2","D",".10"
"115","4",115,"4.10","1","2","A",".10"
"116","9",116,"9.10","20","1","D",".10"
"117","2",117,"2.10","10","1","A",".10"
"118","11",118,"11.10","10","2","D",".10"
"119","12",119,"12.10","20","2","D",".10"
"120","3",120,"3.10","20","1","A",".10"
